Obsolète;Code terrain;Toponyme;Type;Date creation;Dernière modification;Date validation;Position;Latitude;Longitude;Altitude;Consignes;Nombre de pistes;Nature première piste;Axe préférentiel première piste;Largeur première piste;Longueur première piste;Orientation première piste;Nature deuxième piste;Axe préférentiel deuxième piste;Largeur deuxième piste;Longueur deuxième piste;Orientation deuxième piste;Radio;Carburant;Facilités;Facilités en clair;Email de contact;Téléphone;Informations complémentaires;Gestionnaire terrain
"";"LF4923";"Saint Sigismond";"Base ULM fermée définitivement";"22/11/2011";"19/12/2015";"14/10/2025";"47.439444,-0.935833";"N 47 26 22";"W 000 56 09";"243 ft";"Piste privée, il n'est pas donné d'autorisation pour s'y poser.";"1";"herbe";"";"15";"350";"'10-28";"";"";"";"";"";"125.335";"Station 3 Kms";"0";"invalid";"";"";"Piste privée, il n'est pas donné d'autorisation pour s'y poser.";"";
"";"LF4925";"Soucelles";"Aérodrome fermé.";"8/03/2011";"25/12/2015";"14/10/2025";"47.580219,-0.412204";"N 47 34 49";"W 000 24 44";"170 ft";"PPR au propriétaire, phone: 02 41 21 05 05, fax : 02 41 32 29 89 propriétaire aussi d'un bimoteur personnel PA31 Navajo, basé sur son AD privé. 


Aérodrome situé à l'intérieur de la zone R28.";"1";"herbe";"";"";"1040";"'07-25";"";"";"";"";"";"";"";"0";"invalid";"";"+33 2 41 21 05 05";"";"Claude Brémond";
"";"LF4946";"Soulaire";"Aérodrome Privé Interdit aux ULM Autorisation OBLIGATOIRE ";"8/03/2011";"19/12/2015";"20/07/2022";"47.56557143123,-0.5497191507873822";"N 47 33 56";"W 000 32 59";"148 ft";"PPR : Utilisation seulement sur invitation.";"1";"herbe";"";"5";"300";"'18-36";"herbe";"";"";"";"'Inconnue";"";"";"0";"invalid";"abago@gmx.net";"";"";"";
"";"LF4954";"St Macaire du bois";"Base ULM Autorisation OBLIGATOIRE ";"22/08/2011";"4/04/2019";"14/04/2023";"47.12630466470039,-0.2813422679901123";"N 47 07 35";"W 000 16 53";"170 ft";"Tour de piste au nord 150m sol";"1";"herbe";"'31";"15";"273";"'13-31";"herbe";"";"";"";"'Inconnue";"125.335";"Sur réservation";"4";"Gîte à proximité";"jf.guionneau@yahoo.fr";"+33 2 41 59 95 74";"";"";
"";"LF4955";"Valanjou";"Base ULM Accès privé";"13/07/2011";"9/03/2019";"14/04/2023";"47.22442098253,-0.5684137344360352";"N 47 13 28";"W 000 34 06";"262 ft";"TDP Nord 300ft


parcelle de 230 m ";"1";"herbe";"";"20";"160";"'04-22";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"jefro@laposte.net";"+33 2 41 30 61 12";"Piste privée prévenir


Froger Jean François 02 41 30 61 12";"";
"";"LF4956";"Coutures";"Base ULM Accès privé";"26/10/2011";"15/07/2025";"20/10/2025";"47.366015,-0.330534";"N 47 21 58";"W 000 19 50";"100 ft";"Tour de piste coté ouest en évitant le survol du château de Montsabert pour la piste n°1 et tour de piste coté sud pour la piste n°2";"2";"herbe";"";"20";"250";"'02-20";"herbe";"";"20";"180";"'10-28";"125.335";"";"0";"invalid";"couepat@laposte.net";"+33 06 82 66 23 61";"";"Club ulm des 4 villages";
"";"LF4957";"Jumelles";"Aérodrome Privé Ouvert aux ULM";"4/07/2015";"15/06/2025";"16/06/2025";"47.435528532119115,-0.09664169311520254";"N 47 26 08";"W 000 05 48";"130 ft";"Atterrissage 04 préférentiel.. Clôture d'un mètre environ au seuil 04. Haie de 1,5m au seuil 22. TdP au sud de préférence pour éviter le survol du village autant que possible.  Terrain mouillé et sans manche à air l'hiver donc non praticable. 


";"1";"herbe";"'04";"30";"400";"'04-22";"herbe";"";"";"";"'Inconnue";"";"Aucun";"5";"Camping possible";"gd.mustang@orange.fr";"+33 6 07 53 71 78";"Aérodrome ouvert aux personnes autorisées par la famille Desbois propriétaire. Demande d'autorisation par tél. ou email impérative. Serez toujours les bienvenus. Terrain praticable seulement manches à air  installées (hors hiver)


En date du 16/06/2025 le terrain a été fauché mais des balles de foin sont encore sur les cotés de la piste et les sangliers ont fait leurs ravages donc atterrissages et décollages proscrits sauf avec des roues bush


";"Famille Desbois";
"";"LF4958";"Chesnaie ULM";"Base ULM Autorisation OBLIGATOIRE ";"13/03/2018";"5/06/2022";"14/04/2023";"47.339514474482904,-0.9250984870604952";"N 47 20 22";"W 000 55 30";"320 ft";"Tour de piste au  NORD 800 ft";"1";"herbe";"'25";"20";"360";"'07-25";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"jmmousseau@wanadoo.fr";"+33 6 80 61 04 35";"Seuil decalé coté EST de la piste ( route D150+ ligne TELECOM )";"CHESN'AIR";
"";"LF4959";"Solib'Ailes";"Base Paramoteurs Privé Avec Restrictions Autorisation OBLIGATOIRE ";"29/07/2020";"24/03/2021";"26/03/2021";"47.77749202617854,-0.5141439846557683";"N 47 46 39";"W 000 30 51";"230 ft";"Prise de terrain UNIQUEMENT par l'OUEST


Survol des habitations interdit


Ligne electrique au N-NE";"1";"herbe";"";"200";"200";"'omnidir";"herbe";"";"";"";"'Inconnue";"";"";"0";"invalid";"contact@solib-ailes.com";"+33749109807";"Base privée accessible uniquement aux paramoteurs autorisés: 0749109807


";"Solib'Ailes Paramoteur";
"";"LF5021";"Dragey";"Base ULM Accès privé";"8/03/2011";"24/12/2015";"14/04/2023";"48.705400961337,-1.4938558637543338";"N 48 42 19";"W 001 29 38";"147 ft";"PPR : Pilotes autorisés uniquement.


";"1";"herbe";"";"";"300";"'04-22";"herbe";"";"";"";"'Inconnue";"125.335";"";"4,5";"Gîte à proximité, Camping possible";"ulm50@wanadoo.fr";"+33 2 33 48 67 48";"A l’intention des pilotes ULM de passage :





En raison de la proximité du camping tout proche, toutes demandes de posé en ULM pour les mois de juillet et août seront refusées pour des raisons de sécurité.





En dehors de celle-ci, tout posé devra au préalable, faire l’objet d’une autorisation du gestionnaire.";"Didier Hulin";
"";"LF5022";"Portbail";"Base ULM Accès limité Autorisation OBLIGATOIRE ";"8/03/2011";"27/07/2025";"5/05/2026";"49.335298,-1.713995";"N 49 20 07";"W 001 42 50";"49 ft";"Survol des villages et habitations+ centre équestre environnants strictement Interdit.


Présence éventuelle de chevaux et clotures.


Tour de piste au Nord";"1";"herbe";"";"25";"180";"'06-24";"";"";"";"";"";"125.335";"";"5,6";"Camping possible, Restauration &agrave proximité";"mc.bienvenu@orange.fr";"+33 6 14 57 92 12";"AUTORISATION  Préalable  Requise .


  Tour de piste au NORD 


  Terrain situé dans une ZRT DEP ( Départ de Drones Marine ) 


  Voir SUP AIP 076/26  activable par Notam l";"vikings volants";
"oui";"LF5023";"La Fourchette";"Aérodrome fermé.";"24/04/2014";"15/11/2016";"28/11/2016";"49.304880219366,-1.1854662089879184";"N 49 18 18";"W 001 11 08";"";"TERRAIN FERME DEFINITIVEMENT


(arreté prefectoral)";"1";"herbe";"";"";"";"'Inconnue";"herbe";"";"";"";"'Inconnue";"";"nil";"";"";"";"";"TERRAIN FERME DEFINITIVEMENT


(Arreté prefectoral)


";"";
"";"LF5122";"Servon Melzicourt";"Aérodrome Privé Ouvert aux ULM";"25/09/2011";"10/10/2018";"12/10/2018";"49.204897072463105,4.830808639526367";"N 49 12 18";"E 004 49 51";"410 ft";"Evitez le survol des villages avoisinant. Attention : piste souvent inondée ou très humide l'hiver.";"1";"herbe";"";"30";"600";"'04-22";"herbe";"";"";"";"'Inconnue";"";"";"0";"invalid";"";"+33 3 26 60 10 02";"Depuis Vouziers, suivre le cours de l'Aisne. La piste est au Sud-Ouest du village de Servon-Melzicourt. Cônes et manche à air présents mais pas faciles à repérer. QFU préférentiel 04 (route départementale 666 proche du seuil 22). Attention à la zone R3 (plafond 1800 ft) à 5 nm au Nord-Ouest (ex-base aérienne OTAN de Vouziers-Séchault).";"";
"";"LF5123";"Courtisols les Houches";"Base ULM Accès privé";"24/06/2011";"3/11/2017";"14/04/2023";"48.995368086965,4.496626853942871";"N 48 59 43";"E 004 29 48";"492 ft";"Piste 1 (18-36) Tour de piste à l'Est


Piste 2 (07-25) Tour de piste au Nord";"2";"herbe";"";"30";"300";"'18-36";"herbe";"";"30";"300";"'07-25";"125.335";"à 2 kms";"0";"invalid";"d.landais@wanadoo.fr";"+33 3 26 66 92 91";"Plate-forme ULM privée : prévenir obligatoirement avant de passer. 


INFO zones de Mourmelon et de Suippes.


Village à 2 km, resto. et hôtels, visite de la basilique gothique de l'Epine à voir.... splendide !!!";"Club ULM de Courtisols";
"";"LF5124";"Reims Concept ULM";"Base Paramoteurs Privée Ouverte aux ULM sur autorisation";"6/08/2011";"14/10/2020";"16/10/2020";"49.204595652365,3.73335599899292";"N 49 12 17";"E 003 44 00";"557 ft";"TDP par le S ne pas survoler la Ferme Saint Antoine au SO des installations. 


Piste ULM et paramoteur a ne pas utiliser en même temps, priorité aux PM.";"2";"herbe";"";"30";"160";"'14-32";"herbe";"";"70";"90";"'omnidir";"";"SP98 et huile";"6,4,5";"Restauration &agrave proximité, Gîte à proximité, Camping possible";"reimsconceptulm@gmail.com";"+33 6 13 53 06 29";"Plate forme ULM du Reims Concept ULM située à 20 minutes de Reims sur la route de Ville en Tardenois.  Il s'agit d'une piste Paramoteur réservée aux pilotes du RC ULM. Toutes les infos sur nos structures sur www.reimsconceptulm.fr


Ecole Bulles d'Air Paramoteur, Marc Sumera 06.28.66.29.55 marc.sumera@gmail.com";"Paul-Antoine BOUDET";
"oui";"LF5151";"Togny-aux-boeufs";"Base ULM Autorisation OBLIGATOIRE ";"8/03/2011";"5/08/2015";"3/10/2015";"48.852778,4.433055999999965";"N 48 51 10";"E 004 25 59";"";"Piste d'utilisation 'occasionnelle' ! Comme la piste peut se trouver en culture, il faut impérativement m'appeler avant de venir vous poser !";"1";"herbe";"";"6";"200";"'07-25";"herbe";"";"";"";"'Inconnue";"";"";"";"";"";"+33 6 07 82 76 54";"";"";
"oui";"LF5152";"Bouzy";"Base ULM fermée définitivement";"4/12/2011";"13/06/2021";"1/07/2025";"49.08223297011261,4.136801272498246";"N 49 04 56";"E 004 08 12";"360 ft";"Plateforme privée.


Contact obligatoire en laissant un message à Eloi VESSELLE. 





Ne pas survoler le village de Bouzy.





Tour de piste par le Sud.";"1";"herbe";"";"20";"450";"'11-29";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"g.vesselle@champagne-alainvesselle.fr";"+33 6 63 00 03 20";"Piste privée d'un propriétaire récoltant de champagnes.





La famille VESSELLE se consacre depuis plusieurs générations à la culture de la vigne et à l'élaboration des vins de Champagnes remarquables par leur finesse et leur élégance.


La maison de champagne Alain VESSELLE ouverte toute l'année propose des dégustations, des visites de caves et la vente sur place.


Plus de renseignements par téléphone au 03.26.57.00.88 ou sur notre site internet.";"propriétaire";
"";"LF5154";"Lac du Der";"HydroSurface Restreinte Autorisation OBLIGATOIRE ";"2/01/2012";"25/01/2016";"25/02/2016";"48.566685128557,4.729974365234398";"N 48 34 00";"E 004 43 48";"436 ft";"Localisation des secteurs d'amerrissage, décollage et évolutions à flot :


• Le secteur normal d'amerrissage, de décollage et de 'tours de piste' pour entraînements est le coin sud-ouest du lac, délimité par l'île de Chantecoq.";"1";"eau";"";"";"";"'omnidir";"herbe";"";"";"";"'Inconnue";"134.775";"";"3,4";"Restauration sur place, Gîte à proximité";"syndicatduder@wanadoo.fr";"+33 3 26 72 62 87";"ATTENTION CONSIGNES SPECIFIQUES ET PREAVIS A RESPECTER AVANT TOUT VOL


(dates d'ouverture, procédures avec la BA113, procédures activation et désactivation, altitudes  d'évolution, hauteur d'eau minimale, etc ...)


 à télécharger sur : 


http://www.francehydravion.org/content/nord-est-marne-lac-du-der";"Syndicat du lac du Der";
"";"LF5155";"Champagne Vol Libre";"Base paramoteurs fermée définitivement.";"12/01/2012";"3/04/2013";"21/12/2023";"48.936147571675,4.061576148139125";"N 48 56 10";"E 004 03 42";"335 ft";"Ne pas survoler la ferme des Pendants de Renneville.


Bien suivre le plan d'accès à la plateforme indiqué sur le site internet de Dynamic Paramoteur et sans passer devant la ferme Saint Joseph.";"1";"herbe";"";"80";"80";"'omnidir";"herbe";"";"";"";"'Inconnue";"125.335";"";"6,4,5";"Restauration &agrave proximité, Gîte à proximité, Camping possible";"ericvdw@free.fr";"+33 3 26 51 70 81";"PARAMOTEURS EXCLUSIVEMENT";"Champagne Vol Libre";
"";"LF5156";"Epoye ULM Reims Concept ULM";"Base paramoteurs fermée définitivement.";"21/03/2015";"22/09/2020";"24/09/2020";"49.277181811895,4.24050228203123";"N 49 16 38";"E 004 14 26";"328 ft";"";"1";"herbe";"";"100";"100";"'omnidir";"herbe";"";"";"";"'Inconnue";"";"";"0";"invalid";"boudetpa@gmail.com";"+33 6 13 53 06 29";"";"Reims Concept ULM";
"";"LF5157";"Base ULM de Berru";"Base Paramoteurs Privé Avec Restrictions Autorisation OBLIGATOIRE ";"9/12/2018";"28/12/2021";"14/04/2023";"49.28610031693791,4.1875956192627655";"N 49 17 10";"E 004 11 15";"472 ft";"Tour de piste au Nord, ne pas survoler la ferme isolée au SUD, la ferme du Milanais.


Ne pas stationner les voitures sur la piste.


";"1";"herbe";"";"65";"65";"'omnidir";"herbe";"";"60";"60";"'omnidir";"125.335";"SP98";"3,6,4,5";"Restauration sur place, Restauration &agrave proximité, Gîte à proximité, Camping possible";"reimsconceptulm@gmail.com";"+33 6 13 53 06 29";"Base ULM réservée paramoteur pour l'école Bulles d'Air Paramoteur et le club REIMS CONCEPT ULM.


Contact Ecole Paramoteur:  Marc Sumera 06.28.66.29.55, marc.sumera@gmail.com, Instructeur FFPLUM


Paul Antoine Boudet 0613530629 président du Club RC ULM


Terrain réservé au membres du Reims Concept ULM et Bulles d'Air Paramoteur.





";"Paul-Antoine Boudet";
"";"LF5158";"La croix du garçon ";"Base ULM Accès privé";"25/05/2022";"25/05/2022";"14/04/2023";"49.250254138770934,4.8924345816760795";"N 49 15 01";"E 004 53 33";"600 ft";"";"1";"herbe";"'06";"30";"460";"'06-24";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"";"+33 6 30 28 51 59";"";"Delattre";
"";"LF5159";"Baudement";"Base ULM Autorisation OBLIGATOIRE ";"12/12/2024";"12/12/2024";"14/12/2024";"48.58194358040373,3.7663051959869343";"N 48 34 55";"E 003 45 59";"279 ft";"verticale terrain obligatoire avant intégration par le nord  ";"1";"herbe";"'33";"20";"150";"'15-33";"herbe";"";"";"";"'Inconnue";"125.335";"POSSIBLE";"4,5";"Gîte à proximité, Camping possible";"jean-marie.gonet@wanadoo.fr";"+33 6 88 88 92 78";"piste en pente pour 1% , présence de ligne à haute et très haute tension , survol de la vallée interdit de mai à septembre LPO ,présence possible d'aéromodèle  (plafond 1000FT) et paramoteur 


survol de la ferme et du village interdit ";"l'essenCiel";
"oui";"LF5221";"Auberge du Moulin de l'Achat";"Aérodrome fermé.";"4/12/2011";"17/09/2015";"18/10/2015";"47.93888888888889,5.864444444444445";"N 47 56 20";"E 005 51 52";"860 ft";"Aérodrome réservé aux pilotes autorisés. tour de piste main droite. Faire le tour du village d'Enfonvelle pour en éviter le survol. Aérodrome de type altisurface : atterrissage impératif au QFU 03 et décollage au QFU 21 pente moyenne et régulière";"1";"herbe";"'03";"30";"550";"'03-21";"herbe";"";"";"";"'Inconnue";"Auto-info 123.5";"";"";"";"info@moulindelachat.nl";"+33 3 25 90 09 54";"Resto 'Moulin de Lachat' sur place: 03 25 90 09 54


http://www.moulindelachat.eu/";"";
"oui";"LF5223";"Bourbonne les Bains";"Base ULM Autorisation OBLIGATOIRE ";"5/12/2011";"5/12/2011";"17/09/2012";"47.96221503797366,5.731843692461666";"N 47 57 44";"E 005 43 55";"1066 ft";"Piste avec déclivité descendente en 08.";"1";"herbe";"";"50";"300";"'08-26";"";"";"";"";"";"Auto-info 123.5";"";"";"";"danielmandleur@yahoo.fr";"+33 3 25 90 21 07";"";"";
"";"LF5224";"Harricourt la Gonio";"Base ULM Autorisation OBLIGATOIRE ";"8/03/2011";"24/12/2015";"14/04/2023";"48.280189508076,4.9145471270142025";"N 48 16 49";"E 004 54 52";"1214 ft";"";"1";"herbe";"";"15";"200";"'06-24";"herbe";"";"";"";"'Inconnue";"125.335";"";"";"";"";"+33 3 25 01 52 42";"";"";
"";"LF5225";"Laville aux Bois";"Base ULM Autorisation OBLIGATOIRE ";"8/03/2011";"13/02/2018";"14/04/2023";"48.092778,5.201944000000026";"N 48 05 34";"E 005 12 07";"1227 ft";"Tours de piste côté Ouest à 200m QFE (575m /~2000' QNH). 


Le hangar est situé à l'est de la piste, à l'orée d'un bois.


Attention au gradient et turbulences, par vent de secteur E, NE, SE marqué, générés par le bois du côté sud de la piste. ";"1";"herbe";"";"40";"530";"'18-36";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"capelleb@orange.fr";"+33 3 25 32 37 26";"";"Club ulm passion'ailes 52";
"";"LF5252";"les ailes du der";"Base ULM Autorisation OBLIGATOIRE ";"5/11/2011";"28/08/2016";"14/04/2023";"48.435721201329,4.851837158203125";"N 48 26 09";"E 004 51 07";"561 ft";"Plate-forme 550x20 dont piste de 300x20  avec seuil d'atterrissage 29 à 150m de la route D113.


(de préférence atterrissage en montant piste 11)


*éviter le survol des fermes environnantes


*éviter la période de décembre à mars compris : terrain gras";"1";"herbe";"'11";"20";"300";"'11-29";"herbe";"";"0";"0";"'Inconnue";"125.335";"";"0";"invalid";"bur.lesailesduder@laposte.net";"+33 3 25 05 91 63";"Pour tous renseignements concernant la restauration, l'hébergement, l'approvisionnement en carburant, téléphoner au :


                                            


                                               06 27 37 85 45";"les ailes du der";
"";"LF5321";"Andouillé Le Tertre Picard";"Aérodrome Privé Ouvert aux ULM";"3/08/2011";"29/05/2023";"24/03/2026";"48.177190,-0.850153";"N 48 10 38";"W 000 51 01";"410 ft";"Verticale 2000ft (1590ft)


Tour de piste Avion à 1500 ft (1090 ft) à l’est, ULM à 1000 ft (590 ft) à l’ouest.


Eviter de survoler les 2 bâtiments d'élevage (poulets) situés sur la droite en finale 13.


31 préférentielle car dégagements plus accueillants en cas de défaillance au décollage.


Présence de 4 éoliennes à 5km au nord ouest du terrain.";"1";"herbe";"'31";"30";"560";"'13-31";"";"";"";"";"";"123.50";"Station à 6 km";"2,5,6";"Hangar possible, Camping possible, Restauration &agrave proximité";"mleroi@wanadoo.fr";"+33 6 68 54 32 40";"Aérodrome privé, autorisation obligatoire.


En cas de fortes pluies soutenues le terrain peut devenir difficilement praticable. Merci de se renseigner avant.";"Leroi Marc";
"";"LF5322";"La Rogerie";"Aérodrome Privé Ouvert aux ULM";"8/03/2011";"12/09/2019";"13/09/2019";"48.311667,-0.5352780000000621";"N 48 18 42";"W 000 32 07";"420 ft";"Aérodrome privé, 





Tout de piste au Nord.





Activité Planeur décollant au treuil sur le terrain: Éviter la verticale terrain. les Planeurs utilisent la fréquence 123.05.





Attention le terrain peut être impraticable après de forte pluies";"1";"herbe";"";"50";"800";"'09-27";"herbe";"";"";"";"'Inconnue";"123.5";"Non ";"2,4,5";"Hangar possible, Gîte à proximité, Camping possible";"";"+33 6 43 82 08 91";"";"Sci Abri Aéro ";
"";"LF5323";"La Bazouge de Chemeré";"Base ULM ouverte tous types";"26/07/2011";"2/02/2025";"4/02/2025";"48.01303018283969,-0.4941621283213635";"N 48 00 47";"W 000 29 39";"308 ft";"Verticale 1500 (1200) ft


Tour de piste Nord 1000 (700) ft


Taillis en bord de piste côté sud : Vigilance à l’atterrissage par vent de sud


Survol des habitations interdit


plus d'info sur  https://www.sites.google.com/view/pegase-ulm/venir-en-vol";"1";"herbe";"";"20";"250";"'08-26";"herbe";"";"";"";"'Inconnue";"125.335";"A la demande";"6,2,4,5";"Restauration &agrave proximité, Hangar possible, Gîte à proximité, Camping possible";"pegase.ulm@gmail.com";"+33 6 84 35 66 47";"Restauration possible à 1,3km dans village : Le Petit Comptoir 02 43 98 15 58 (voir site)


Gites et Chambres d'hôtes à proximité.


Possibilité de dormir sous la tente sur place";"ULM Pégase évasion";
"";"LF5324";"Beausoleil";"Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ";"4/09/2011";"2/08/2022";"14/04/2023";"47.777477742021,-0.5510759353637695";"N 47 46 39";"W 000 33 04";"236 ft";"circuit au N/O. Tour de piste main gauche ( limité à 2 tours de piste pour la tranquillité du voisinage ). Survol des habitations proche à éviter ; ligne électrique au N/E de la piste.


piste 34 de préférence cause légère pente en monté.";"1";"herbe";"'34";"20";"200";"'16-34";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"ritouet.jean-marie@wanadoo.fr";"+33 6 13 51 00 86";".Piste ULM privé, réservée uniquement aux pilotes basés sur le terrain.


Accès interdit à toutes personnes venant en vol de l'extérieur pour le bien être et le calme du voisinage.





 


merci de votre compréhension. 


";"";
"";"LF5325";"Courcité";"Règles spécifiques d'accès";"2/11/2011";"31/05/2023";"2/06/2023";"48.2898988123,-0.259098777770987";"N 48 17 24";"W 000 15 33";"787 ft";"1- Tour de piste préférentiel Ouest


2- Ne jamais survoler les maisons proches de la piste et quitter rapidement la zone après décollage (voir photo jointe)


3- Attention aux paramoteurs de l'école en tour de piste


";"1";"herbe";"'19";"40";"150";"'01-19";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"vetillardm@gmail.com";"+33 6 36 50 20 15";"Supermarché et station essence à Villaines-la-Juhel (6 kms) - Restaurant à Averton (5 kms).





Route d'accès : 1km Sud de Courcité sur la D13, prendre un chemin à droite en impasse direction SSW qui suit un ruisseau.


Autorisation téléphonique du propriétaire obligatoire pour utiliser la plateforme.";"Vetillard Michel";
"oui";"LF5327";"La Petite Lande à Cossé le Viv";"Aérodrome fermé.";"29/10/2011";"1/02/2015";"3/02/2015";"47.973889,-0.916667";"N 47 58 26";"W 000 55 00";"330 ft";"PPR : Suite à changement de propriétaire cette piste n'existe plus: remise en culture !";"1";"herbe";"";"30";"630";"'06-24";"herbe";"";"";"";"'Inconnue";"auto-info 123.5";"";"2";"Hangar possible";"ffcarpentier@aol.com";"+33 2 43 98 26 99";"";"";
"oui";"LF5351";"Aron Les Ecottays";"Base ULM fermée définitivement";"8/03/2011";"15/11/2020";"16/11/2020";"48.283186596460844,-0.5158512809204012";"N 48 16 59";"W 000 30 57";"426 ft";"Ne reste que l'Activité modélisme sur la piste.";"1";"herbe";"'07";"25";"500";"'07-25";"herbe";"'16";"34";"380";"'16-34";"123.500";"";"0";"invalid";"gillesvirginie-foret@orange.fr";"+33 6 72 42 45 16";"LA PISTE ARON LES ECOTTAYS EST DEFINITIVEMENT FERMEE A TOUS LES ULM DEPUIS LE 30 OCTBRE 2020.


(décision du gestionnaire Gilles FORET)





Président du club : André Fouqué (06 70 43 97 84)


Instructeur : Serge Roquet (06 32 27 41 15)";"Gilles Forêt";
"oui";"LF5352";"Mézangers";"Base ULM fermée définitivement";"11/10/2012";"26/11/2016";"26/03/2019";"48.179568777822766,-0.43620082007510064";"N 48 10 46";"W 000 26 10";"328 ft";"";"1";"herbe";"";"30";"350";"'17-35";"herbe";"";"";"";"'Inconnue";"123.500";"";"0";"invalid";"";"";"";"";
"";"LF5353";"Ambrières-les-Vallées";"Règles spécifiques d'accès";"15/11/2020";"20/05/2025";"27/05/2026";"48.440801,-0.638975";"N 48 26 27";"W 000 38 20";"138 ft";"Verticale 1500 ft QNH, Tour de piste main gauche 1000 ft QNH,


Attention à la ligne perpendiculaire à l'entrée de piste 32 (Hauteur poteaux 9 m).


Attention au poteau élec dans l'axe et à 60 m de l'entrée piste 14 


Survol des habitations interdit !";"1";"herbe";"";"20";"495";"'14-32";"";"";"";"";"";"125.335";"sur demande";"0";"invalid";"hubert.boisgontier@wanadoo.fr";"+33 6 77 50 42 03";"Président André Fouqué 06 70 43 97 84


Instructeur Serge Roquet 06 32 27 41 15";"Hubert Boisgontier";
"";"LF5354";"Lassay les Châteaux Le Rudson";"Base ULM Autorisation OBLIGATOIRE ";"11/07/2021";"9/04/2023";"14/04/2023";"48.457852708147996,-0.42579099416503396";"N 48 27 28";"W 000 25 33";"571 ft";"Verticale 1700 pieds (attention LFAO Bagnoles au delà des éoliennes).


Tours de piste secteur Nord à 1200 ft QNH.


Rabattants en 11, attention gaules agricoles dressées à 5 m/sol.


Survol du bourg de la Baroche-Gondouin fermes et habitations interdit. 


";"1";"herbe";"'29";"25";"295";"'11-29";"herbe";"";"";"";"'Inconnue";"125.335";"sur réservation";"6,4,5";"Restauration &agrave proximité, Gîte à proximité, Camping possible";"ismaelgalmard@hotmail.fr";"+33629732866";"Aéro-club 'Les Ailes d'Isma Entre Ciel et Terre'


Présidente : Amélie Huard 0622442098


Instructeur : Ismaël Galmard-Bossé 0629732866


Secrétaire : Stéphane Evenisse 0665423949 





Aire de détente sur le site, ne pas stationner aux abords des emplacements, cordon rouge de délimitation.


Prévenir le public en cas de décollage, assurer la sécurité.";"";
"";"LF5355";"Oisseau Neuville ";"Base ULM Accès privé";"23/04/2022";"19/08/2023";"21/08/2023";"48.3511759635701,-0.708935208786754";"N 48 21 04";"W 000 42 32";"550 ft";"";"1";"herbe";"'34";"20";"250";"'16-34";"herbe";"";"";"";"'Inconnue";"125.335";"à  Mayenne  6km";"6,2,5";"Restauration &agrave proximité, Hangar possible, Camping possible";"philippearmand61@gmail.com";"+33 6 51 03 29 82";"En cours d expérimentation. ";"Privé ";
"";"LF5421";"Mont sur Meurthe";"Aérodrome Privé Ouvert aux ULM";"8/03/2011";"12/05/2017";"1/06/2022";"48.5425,6.441666666666606";"N 48 32 33";"E 006 26 30";"814 ft";"Par vent faible atterrissage en 20 et décollage en 02


Tour de piste à 700 pieds QFE à l'Est du terrain 


Dernier virage à 500 ou 400 pieds





Par vent fort turbulences aux deux seuils de piste 20. Arbres élevés dans les deux axes et en bordure de bande.";"1";"herbe";"'20";"25";"700";"'02-20";"herbe";"";"";"";"'Inconnue";"123.500";"SP98 sur demand";"5";"Camping possible";"";"+33 6 08 53 67 78";"PPR: Autorisation préalable requise.


Plateforme en légère pente montante vers le sud. Piste inutilisable après des pluies prolongées.";"";
"";"LF5422";"Villerupt Micheville";"Aérodrome Privé Ouvert aux ULM";"11/07/2011";"13/03/2016";"14/05/2021";"49.48519639968314,5.917832851409912";"N 49 29 07";"E 005 55 04";"1305 ft";"Tour de piste côté du Luxembourg au nord en évitant survol du village de Rédange.


Par vent de nord ou est, attention aux rouleaux juste avant le seuil de la piste 14, rouleaux dus à la vallée.";"1";"herbe";"";"50";"800";"'14-32";"herbe";"";"";"";"'Inconnue";"123.500";"non";"0";"invalid";"LF5422@gmail.com";"+33 6 85 57 99 99";"PPR strictement obligatoire. Cet aérodrome privé, en fait situé à 90% sur la commune de Rédange (Moselle), est interdit à tout aéronef non basé.





http://lf5422.wordpress.com/2009/07/01/tour-de-piste-et-voisins/





Pour accès routier au terrain voir


http://lf5422.wordpress.com/acces-routier/";"REV Espace loisirs association";
"";"LF5423";"Herbéviller";"Aérodrome Privé Ouvert aux ULM";"8/03/2011";"25/12/2015";"6/02/2016";"48.555982977764,6.768775962951622";"N 48 33 22";"E 006 46 08";"860 ft";"";"1";"herbe";"";"15";"470";"'17-35";"herbe";"";"";"";"'Inconnue";"";"";"";"";"";"+33 3 94 84 17 85";"";"";
"oui";"LF5425";"Chenevieres";"Base ULM fermée définitivement";"8/03/2011";"8/03/2011";"10/12/2013";"48.531944,6.630833";"N 48 31 55";"E 006 37 51";"866 ft";"";"1";"herbe";"";"";"";"'Inconnue";"";"";"";"";"";"";"";"";"";"";"";"";"";
